Material_Type,Material_Name,C10_library_LSE,C11_library_LSE,C12_library_LSE,C13_library_LSE,C14_library_LSE,OE_retrieved_LST,C10_OE_retrieved_LSE,C11_OE_retrieved_LSE,C12_OE_retrieved_LSE,C13_OE_retrieved_LSE,C14_OE_retrieved_LSE,OE_retrieved_LST_uncertainty,C10_OE_retrieved_LSE_uncertainty,C11_OE_retrieved_LSE_uncertainty,C12_OE_retrieved_LSE_uncertainty,C13_OE_retrieved_LSE_uncertainty,C14_OE_retrieved_LSE_uncertainty
Urban,Construction Tar,0.959450553,0.956113538,0.956113538,0.958056106,0.959856848,306.1206,0.942064,0.93931013,0.9399012,0.94632435,0.9467213,1.442603,0.03135792,0.028418824,0.026581911,0.02208891,0.021840397
Urban,Construction Concrete,0.918063946,0.925923592,0.925923592,0.95965303,0.958855587,305.8235,0.91159374,0.91582435,0.91672593,0.9514544,0.9517814,1.4353206,0.030728629,0.028008379,0.026200464,0.022217315,0.02200462
Urban,Weathered Red Brick,0.961829499,0.920003917,0.920003917,0.970170511,0.980334008,307.81198,0.89787734,0.8741946,0.8746532,0.926165,0.940179,1.461292,0.03036257,0.027490305,0.025709921,0.022003379,0.021898473
Urban,Olive green paint,0.959932889,0.946252522,0.946252522,0.946147743,0.95042385,305.97,0.9436796,0.9328732,0.9331833,0.93667674,0.94006103,1.4333615,0.031465355,0.028380284,0.026547102,0.022015458,0.02177848
Urban,Galvanized Steel Metal,0.952682081,0.95213679,0.95213679,0.956961366,0.957110864,305.9387,0.9401316,0.93884486,0.93952423,0.947605,0.9474912,1.4367965,0.03129936,0.028393157,0.02656598,0.02211963,0.021861646
Urban,Construction  Concrete,0.865095345,0.853388296,0.853388296,0.95004879,0.957461498,306.2395,0.8472877,0.8383706,0.83896846,0.9318041,0.9439042,1.4401336,0.029463701,0.02684484,0.025083035,0.022201434,0.022145577
Urban,Construction Asphalt,0.927089759,0.927442109,0.927442109,0.956744457,0.957373253,305.9391,0.91600597,0.91503173,0.91571176,0.946529,0.94847697,1.4382461,0.030821826,0.028022958,0.026219022,0.022152854,0.021954566
Urban,Olive green gloss paint,0.955232976,0.950737338,0.950737338,0.926822833,0.92678569,304.83875,0.9675026,0.95946413,0.9592477,0.93626076,0.9355626,1.4075975,0.032435764,0.02905432,0.027146565,0.021934688,0.02159873
Urban,Black gloss paint,0.956481135,0.946024482,0.946024482,0.939553159,0.938785557,305.42874,0.9532652,0.9436269,0.9438981,0.93788004,0.93932635,1.4246943,0.03167538,0.02853658,0.026681071,0.022009103,0.02174285
Urban,White Marble,0.935200393,0.929960617,0.929960617,0.941477636,0.909602363,303.8534,0.9664064,0.9596589,0.96034855,0.9542543,0.9485933,1.3888578,0.032050103,0.028883131,0.027010193,0.022074109,0.02174907
