,Material_Name,C10_LSE,C11_LSE,C12_LSE,C13_LSE,C14_LSE
53,Comparison of Wan's Soil 88p2535S with Salisbury from N,0.9389889158729532,0.9450090231603958,0.9261668624264016,0.970422921925343,0.9725490631405708
54,Soil 88p2535S from Nebraska Soil Lab,0.9389889158729532,0.9450090231603958,0.9261668624264016,0.970422921925343,0.9725490631405708
55,Soil 90p3101S from Nebraska Soil Lab,0.8849792590795387,0.9111568715734172,0.8963315043557651,0.9485931100349776,0.941630081867458
56,s88p2535 from Salisbury,0.9416116156254072,0.947111996750993,0.9323339793993488,0.9688051930834132,0.9690009693510436
57,"Sand Sample 1 - Goleta Beach (Goleta, CA) ",0.7699789499622602,0.767435328171659,0.7148133172880563,0.9604047302938192,0.9732564378345756
58,"Sand Sample 2 - Goleta Beach (Goleta, CA)",0.7295949750890812,0.7229381760693712,0.6636508854566915,0.944922506081214,0.9604675069372416
59,Powder Sample 2 from Railroad Valley,0.9334767849487084,0.9355854837307324,0.9334699178539864,0.9557136924611536,0.9543851897344596
60,Powder Sample 1 from Railroad Valley,0.9263735661179868,0.9177892558325912,0.9115563271561948,0.9503035332420317,0.9576356667140252
61,Soil Sample 7 from Oklahoma,0.8969255130732056,0.9087899002814848,0.8988180807839344,0.9730352471761268,0.9770753668562564
62,Soil Sample 3 from Oklahoma,0.902542799241978,0.9203167756816826,0.9149077641911963,0.9805978851129488,0.9814959089131564
63,Soil Sample 12 from Oklahoma,0.8922835410568667,0.9093283878020426,0.9020146317538494,0.9785512876986682,0.9776929640337793
64,Soil Sample 13 from Oklahoma,0.890210970090666,0.9031836818150508,0.8949021295003257,0.9760851612737153,0.975255695629238
65,Soil Sample 6 from Oklahoma,0.904977341665896,0.9183753824301256,0.9121163392412716,0.9769088919662784,0.9802583854128786
66,Soil Sample 2 from Oklahoma,0.8922072067604326,0.9042244896282016,0.8977787060818418,0.978313501280244,0.9796217171349936
67,Soil Sample 11 from Oklahoma,0.889142488941426,0.9102223127766598,0.9038892519375302,0.9890066665559354,0.9884367633547774
68,Soil Sample 4 from Oklahoma,0.9159240515950384,0.9250145271315606,0.918401007503586,0.9743000373789492,0.9770046872807532
69,Soil Sample 9 from Oklahoma,0.8511885945042914,0.864346893926067,0.8584363906864825,0.9294037067994092,0.9320506956760342
70,Soil Sample 5 from Oklahoma,0.8969255130732056,0.9087899002814848,0.8988180807839344,0.9730352471761268,0.9770753668562564
71,Soil Sample 1 from Oklahoma,0.9017205766061104,0.907147423211222,0.8961368117628723,0.9740277556647348,0.983237278721434
72,Soil Sample 14444 from Oklahoma,0.9019239541554857,0.917063354614324,0.9069083210642332,0.9915152047687912,0.9941641142264042
73,Emissivity of Salty Soil (Averaged over 19 Sets),0.931632071785496,0.9337530806173904,0.947125226361132,0.9648437198458824,0.9705008922647044
74,Emissivity of Salty Soil (Averaged over 9 Sets),0.93401223157053,0.939326140059831,0.9500169294565648,0.9643294083565414,0.970366784344182
75,Emissivity of Salty Soil (Averaged over 9 Sets),0.9467845502927954,0.9724895194320132,0.9770821284151644,0.9576404084282436,0.97003251437721
76,"Soil Sample 3 from Concord, MA",0.9362018302905374,0.9402006880996556,0.9330299781926052,0.9720778516587644,0.975143701647342
77,"Soil Sample 2 from Concord, MA",0.9238245628800869,0.9283837564143946,0.9219885909618732,0.9690294274922756,0.9734535549998276
78,"Soil Sample 1 from Concord, MA",0.9454732512510962,0.9500502386307228,0.9422282715391904,0.9735078706629082,0.9764572706356112
79,Sand Sample 2 from Orchard Supply Hardware,0.8090428794620604,0.788559928529742,0.7632801238361938,0.9459214476403124,0.9637633282283324
80,Sand Sample 1 from Orchard Supply Hardware,0.8344969907509495,0.8141217248384186,0.79494501667991,0.9533339170835196,0.9679808619736064
81,"Soil Sample 6 (Page, Arizona)",0.7621751945923706,0.785763969403211,0.7642081673129154,0.9525932990865246,0.9641790296838806
82,"Soil Sample 2 (Page, Arizona)",0.7621722115341724,0.7976227644188973,0.7662106035159177,0.9543937290545582,0.9658635963510832
83,"Soil Sample 7 - Hard Pan, Fractured Somewhat (Page, Ari",0.8930530114179761,0.9131716189784906,0.9114322556566998,0.9640504602923357,0.9673795669990736
84,"Soil Sample 3 (Page, Arizona)",0.7593732072578301,0.787584038332278,0.7580989500809152,0.9551161458432944,0.9666539263084106
